Name,Condition,Price,Original Price ,Discount,Sold,Shipping-Price,Countries
Gardengear Electric Garden Tiller,Pre-Owned,$24.28,$24.28,0% off,0 sold,0,from United Kingdom
1500W Electric Tiller Garden Soil Cultivator Rotavator with 6 Blades 10m Cable,Pre-Owned,$21.85,$21.85,0% off,0 sold,0,from United Kingdom
Gardengear Mains Electric Garden Tiller,Pre-Owned,$48.55,$48.55,0% off,0 sold,0,from United Kingdom
"Electric Garden Tiller, Cultivator, Rotovator and Rototiller, ",Pre-Owned,$29.13,$29.13,0% off,0 sold,Shipping not specified,from United Kingdom
electric garden tiller,Pre-Owned,$60.69,$60.69,0% off,0 sold,0,from United Kingdom
Handy Electric Scarifier,Pre-Owned,$24.28,$24.28,0% off,0 sold,0,from United Kingdom
"Lawnmaster TE1016M, Corded Electric Garden Tiller, Orange/Black, Garden Tiller",Open Box,$59.99,$59.99,0% off,0 sold,Shipping not specified,from United States
"20V Cordless Tiller Cultivator with 24 Steel Tines,7.8-Inch Wide Battery Powered",Brand New,$263.04 to $323.06,$263.04 to $323.06,0% off,0 sold,+$115.13 shipping,from United States
Handheld Electric Weeder Ripper Micro Tiller Hoe Rotary Tiller Cultivator 20V ,Brand New,$145.99,$145.99,0% off,0 sold,+$113.99 shipping,from China
"Hyundai 1500w Electric Garden Tiller, Cultivator, Rotovator And Rototiller",Pre-Owned,$103.17,$103.17,0% off,0 sold,0,from United Kingdom
230V 1.4 HP ELECTRIC TILLER GARDEN CULTIVATOR 4 BLADES 360MM SCHEPPACH MTE380,Brand New,$293.59,$293.59,0% off,0 sold,Free International Shipping,from Italy
1400W ELECTRIC TILLER CULTIVATOR ROTAVATOR GARDEN LAWN MACHINE 320mm,Brand New,$140.79,$140.79,0% off,0 sold,+$606.90 shipping,from Poland
1400W Tiller Garden Soil Cultivator Rotavator Electric 400rpm - Parkside 🇩🇪 #,Brand New,$246.27,$246.27,0% off,0 sold,+$218.35 shipping,from United Kingdom
TROY BILT press 2 start model (SB1096610),Pre-Owned,$30.00,$30.00,0% off,0 sold,+$100.70 shipping,from United States
electric tiller cultivator,Pre-Owned,$40.46,$40.46,0% off,0 sold,0,from United Kingdom
230V ELECTRIC TILLER GARDEN CULTIVATOR SCHEPPACH MTE380 + EXTENSION CABLE 20 MT,Brand New,$205.59,$205.59,0% off,0 sold,+$117.00 shipping,from Italy
Earthwise Tillers 100ft Cord 6.5Amp Electric Garden Tiller Cultivator+Cord Lock,Brand New,$142.15,$142.15,0% off,0 sold,+$249.20 shipping,from United States
FPT800 800W Electric Corded Tiller.  Very Good Condition!,Pre-Owned,$60.69,$60.69,0% off,0 sold,0,from United Kingdom
2500W 3IN1 ELECTRIC GARDEN LAWN RAKER/SCARIFIER & AERATOR 320MM WIDTH 35L,Brand New,$287.66,$287.66,0% off,0 sold,+$606.90 shipping,from Poland
BLACK & DECKER MODEL 8300 ELECTRIC CULTIVATOR  not sure if works. untested,Parts Only,$19.99,$19.99,0% off,0 sold,+$902.95 shipping,from United States
AAVIX 32Cm 1250W Electric Cultivator Tiller Rotary Hoe Garden,Brand New,$262.69,$262.69,0% off,0 sold,Shipping not specified,from Australia
 Electric Scarifier Agricultural Plowing Machine Digging Orchard Micro-tiller,Brand New,$379.99,$379.99,0% off,0 sold,+$189.00 shipping,from China
Electric Tiller 1500w 450mm ct5592 uk,Brand New,$303.20,$303.20,0% off,0 sold,+$182.06 shipping,from United Kingdom
GE ELECTRIC DEEP STEAM CLEANER PART 1,Pre-Owned,$14.66,$14.66,0% off,0 sold,+$85.33 shipping,from United States
Handheld Micro-tiller 20V Agricultural Tiller Electric Hoe Rotary Tiller,Brand New,$137.99,$137.99,0% off,0 sold,+$98.99 shipping,from China
"GreenWorks TL08B00 Tiller Original Electric Motor, Globe 8145STA",Pre-Owned,$25.00,$25.00,0% off,0 sold,+$67.68 shipping,from United States
Original full line sales brochure The Tarpen Electric Garden Tools dated 1947,Pre-Owned,$24.28,$24.28,0% off,0 sold,+$19.42 shipping,from United Kingdom
"Sun Joe CANADA 13.5-Amp 16"" 120 V Electric Tiller/Cultivator w/5.5-inch Wheels",Brand New,$585.67,$585.67,0% off,0 sold,"+$1,464.17 shipping",from Canada
Twist Tiller Garden Cultivator & Hand Tiller Heavy Duty Garden Claw Hand Tool - ,Brand New,$56.99,$56.99,0% off,0 sold,+$125.44 shipping,from United States
Troy Bilt Horse Electric Start Decal     ,Open Box,$9.00,$9.00,0% off,14 sold,+$17.83 shipping,from United States
Genuine Mantis Edger E System 330103 Edger Attachment New but missing blade,Open Box,$89.63,$89.63,0% off,0 sold,+$104.01 shipping,from United States
Twist Tiller Garden Cultivator & Hand Tiller Heavy Duty Garden Claw Hand Tool - ,Brand New,$61.99,$61.99,0% off,0 sold,+$125.56 shipping,from United States
Ironwood Pacific Helmsmate Tiller Extension Handle TE | 18″,Brand New,$48.99,$48.99,0% off,0 sold,+$50.20 shipping,from United States
ELECTRIC CLUTCH - OEM HUSQVARNA 532179335,Open Box,$199.99,$199.99,0% off,0 sold,+$46.32 shipping,from United States
Multifunctional Scarifier Agricultural Tiller Electric Plough Machine Cultivator,Brand New,$338.99 to $432.99,$338.99 to $432.99,0% off,0 sold,+$184.00 shipping,from China
Greenworks Tiller Replacement Parts TL16B00,Pre-Owned,$19.99 to $49.99,$19.99 to $49.99,0% off,0 sold,+$231.63 shipping,from United States
Greenworks TL08B00 Electric Cultivator Plastic Housing w/ Screws includes bottom,Pre-Owned,$20.00,$20.00,0% off,0 sold,+$105.11 shipping,from United States
ELECTRIC CLUTCH - OEM HUSQVARNA 583389701,Open Box,$399.99,$399.99,0% off,0 sold,+$51.22 shipping,from United States
Ryobi RYAC700 Cultivator Tiller Part Motor Assembly OEM Part Tested  996906001,Pre-Owned,$39.96,$39.96,0% off,0 sold,+$57.25 shipping,from United States
Troy Bilt Horse Electric Start Decal     ,Open Box,$10.00,$10.00,0% off,0 sold,+$17.85 shipping,from United States
ELECTRIC CLUTCH - OEM HUSQVARNA 532414737,Open Box,$249.99,$249.99,0% off,0 sold,+$47.55 shipping,from United States
Greenworks Electric Cultivator Replacement Motor Housing w/ Screws,Pre-Owned,$34.99,$34.99,0% off,0 sold,+$71.67 shipping,from United States
Troy-Bilt Horse Tiller Neutral Plunger for Safety Interlock System,Pre-Owned,$39.00,$39.00,0% off,0 sold,+$34.39 shipping,from United States
GE ELECTRIC DEEP STEAM CLEANER BACK COVER,Pre-Owned,$24.88,$24.88,0% off,0 sold,+$26.04 shipping,from United States
Ryobi RYAC700 AC Cultivator Tiller OEM Lower Handle 996818001,Pre-Owned,$28.00,$28.00,0% off,0 sold,+$49.68 shipping,from United States
Ryobi RYAC700 AC Cultivator Tiller OEM Lower Handle 996818001,Pre-Owned,$28.00,$28.00,0% off,0 sold,+$49.68 shipping,from United States
Sun Joe Wheel Kit for TJ602E/TJ603E/TJ604E Electric Tillers,Brand New,$6.99,$6.99,0% off,0 sold,+$31.35 shipping,from United States
Earthwise TC70001 Electric Tiller Wheel Assembly WK-TC-SN RTC00043,Pre-Owned,$24.99,$24.99,0% off,0 sold,+$71.42 shipping,from United States
XTREME HD ELECTRIC CLUTCH - x0709,Brand New,$169.99,$169.99,0% off,0 sold,+$265.88 shipping,from United States
"Ryobi RYAC700 Cultivator Tiller Part Handle Knob And Bolt 996815001 , 996814001",Pre-Owned,$19.90,$19.90,0% off,0 sold,+$25.92 shipping,from United States
"Troy-Bilt Horse Tiller Long ""T"" Bar Clamp  1167  GW-1167",Pre-Owned,$35.00,$35.00,0% off,0 sold,+$74.40 shipping,from United States
Earthquake 53630 Tiller Cable Rear Tine 39 in Sheath,Brand New,$29.05,$29.05,0% off,0 sold,+$26.15 shipping,from United States
Genuine Mantis Edger E System 330103 Edger Attachment ,Open Box,$79.97,$79.97,0% off,0 sold,+$95.17 shipping,from United States
Shop on eBay,Brand New,$20.00,$20.00,0% off,0 sold,0,no country
TLEG-01A Mini Tiller Electric Plough Machine Cultivator Scarifier Garden...,Brand New,$540.50,$540.50,0% off,0 sold,Free International Shipping,from China
Electric Tiller 14-Inch and Cultivator garden tools  agriculture  agriculture.,Brand New,$470.50,$470.50,0% off,0 sold,Free International Shipping,from China
Garden Gear Electric Tiller,Pre-Owned,$6.06,$6.06,0% off,0 sold,Shipping not specified,from United Kingdom
"New ListingHyundai 1050W Electric Garden Tiller, Cultivator, Rotovator and Rototiller...",Pre-Owned,$103.17,$103.17,0% off,0 sold,Shipping not specified,from United Kingdom
AAVIX AGT307 320mm Electric Cultivator & Tiller Rotary Hoe Garden Mini Tiller,Pre-Owned,$94.42,$94.42,0% off,0 sold,0,from Australia
Powerbase 1050W 36cm Electric Garden Rotavator Tiller - Current Range - Boxed,Pre-Owned,$72.83,$72.83,0% off,0 sold,0,from United Kingdom
Troy Bilt electric garden tiller /cultivator model TB154E,Pre-Owned,$75.00,$75.00,0% off,0 sold,0,from United States
Gardengear Electric Garden Tiller,Pre-Owned,$24.28,$24.28,0% off,0 sold,0,from United Kingdom
1500W Electric Tiller Garden Soil Cultivator Rotavator with 6 Blades 10m Cable,Pre-Owned,$21.85,$21.85,0% off,0 sold,0,from United Kingdom
Gardengear Mains Electric Garden Tiller,Pre-Owned,$48.55,$48.55,0% off,0 sold,0,from United Kingdom
"Electric Garden Tiller, Cultivator, Rotovator and Rototiller, ",Pre-Owned,$29.13,$29.13,0% off,0 sold,Shipping not specified,from United Kingdom
electric garden tiller,Pre-Owned,$60.69,$60.69,0% off,0 sold,0,from United Kingdom
Handy Electric Scarifier,Pre-Owned,$24.28,$24.28,0% off,0 sold,0,from United Kingdom
"Lawnmaster TE1016M, Corded Electric Garden Tiller, Orange/Black, Garden Tiller",Open Box,$59.99,$59.99,0% off,0 sold,Shipping not specified,from United States
"20V Cordless Tiller Cultivator with 24 Steel Tines,7.8-Inch Wide Battery Powered",Brand New,$263.04 to $323.06,$263.04 to $323.06,0% off,0 sold,+$115.13 shipping,from United States
Handheld Electric Weeder Ripper Micro Tiller Hoe Rotary Tiller Cultivator 20V ,Brand New,$145.99,$145.99,0% off,0 sold,+$113.99 shipping,from China
"Hyundai 1500w Electric Garden Tiller, Cultivator, Rotovator And Rototiller",Pre-Owned,$103.17,$103.17,0% off,0 sold,0,from United Kingdom
230V 1.4 HP ELECTRIC TILLER GARDEN CULTIVATOR 4 BLADES 360MM SCHEPPACH MTE380,Brand New,$293.59,$293.59,0% off,0 sold,Free International Shipping,from Italy
1400W ELECTRIC TILLER CULTIVATOR ROTAVATOR GARDEN LAWN MACHINE 320mm,Brand New,$140.79,$140.79,0% off,0 sold,+$606.90 shipping,from Poland
1400W Tiller Garden Soil Cultivator Rotavator Electric 400rpm - Parkside 🇩🇪 #,Brand New,$246.27,$246.27,0% off,0 sold,+$218.35 shipping,from United Kingdom
TROY BILT press 2 start model (SB1096610),Pre-Owned,$30.00,$30.00,0% off,0 sold,+$100.70 shipping,from United States
electric tiller cultivator,Pre-Owned,$40.46,$40.46,0% off,0 sold,0,from United Kingdom
230V ELECTRIC TILLER GARDEN CULTIVATOR SCHEPPACH MTE380 + EXTENSION CABLE 20 MT,Brand New,$205.59,$205.59,0% off,0 sold,+$117.00 shipping,from Italy
Earthwise Tillers 100ft Cord 6.5Amp Electric Garden Tiller Cultivator+Cord Lock,Brand New,$142.15,$142.15,0% off,0 sold,+$249.20 shipping,from United States
FPT800 800W Electric Corded Tiller.  Very Good Condition!,Pre-Owned,$60.69,$60.69,0% off,0 sold,0,from United Kingdom
2500W 3IN1 ELECTRIC GARDEN LAWN RAKER/SCARIFIER & AERATOR 320MM WIDTH 35L,Brand New,$287.66,$287.66,0% off,0 sold,+$606.90 shipping,from Poland
BLACK & DECKER MODEL 8300 ELECTRIC CULTIVATOR  not sure if works. untested,Parts Only,$19.99,$19.99,0% off,0 sold,+$902.95 shipping,from United States
AAVIX 32Cm 1250W Electric Cultivator Tiller Rotary Hoe Garden,Brand New,$262.69,$262.69,0% off,0 sold,Shipping not specified,from Australia
 Electric Scarifier Agricultural Plowing Machine Digging Orchard Micro-tiller,Brand New,$379.99,$379.99,0% off,0 sold,+$189.00 shipping,from China
Electric Tiller 1500w 450mm ct5592 uk,Brand New,$303.20,$303.20,0% off,0 sold,+$182.06 shipping,from United Kingdom
GE ELECTRIC DEEP STEAM CLEANER PART 1,Pre-Owned,$14.66,$14.66,0% off,0 sold,+$85.33 shipping,from United States
Handheld Micro-tiller 20V Agricultural Tiller Electric Hoe Rotary Tiller,Brand New,$137.99,$137.99,0% off,0 sold,+$98.99 shipping,from China
"GreenWorks TL08B00 Tiller Original Electric Motor, Globe 8145STA",Pre-Owned,$25.00,$25.00,0% off,0 sold,+$67.68 shipping,from United States
Original full line sales brochure The Tarpen Electric Garden Tools dated 1947,Pre-Owned,$24.28,$24.28,0% off,0 sold,+$19.42 shipping,from United Kingdom
"Sun Joe CANADA 13.5-Amp 16"" 120 V Electric Tiller/Cultivator w/5.5-inch Wheels",Brand New,$585.67,$585.67,0% off,0 sold,"+$1,464.17 shipping",from Canada
Twist Tiller Garden Cultivator & Hand Tiller Heavy Duty Garden Claw Hand Tool - ,Brand New,$56.99,$56.99,0% off,0 sold,+$125.44 shipping,from United States
Troy Bilt Horse Electric Start Decal     ,Open Box,$9.00,$9.00,0% off,14 sold,+$17.83 shipping,from United States
Genuine Mantis Edger E System 330103 Edger Attachment New but missing blade,Open Box,$89.63,$89.63,0% off,0 sold,+$104.01 shipping,from United States
Twist Tiller Garden Cultivator & Hand Tiller Heavy Duty Garden Claw Hand Tool - ,Brand New,$61.99,$61.99,0% off,0 sold,+$125.56 shipping,from United States
Ironwood Pacific Helmsmate Tiller Extension Handle TE | 18″,Brand New,$48.99,$48.99,0% off,0 sold,+$50.20 shipping,from United States
ELECTRIC CLUTCH - OEM HUSQVARNA 532179335,Open Box,$199.99,$199.99,0% off,0 sold,+$46.32 shipping,from United States
Multifunctional Scarifier Agricultural Tiller Electric Plough Machine Cultivator,Brand New,$338.99 to $432.99,$338.99 to $432.99,0% off,0 sold,+$184.00 shipping,from China
Greenworks Tiller Replacement Parts TL16B00,Pre-Owned,$19.99 to $49.99,$19.99 to $49.99,0% off,0 sold,+$231.63 shipping,from United States
Greenworks TL08B00 Electric Cultivator Plastic Housing w/ Screws includes bottom,Pre-Owned,$20.00,$20.00,0% off,0 sold,+$105.11 shipping,from United States
ELECTRIC CLUTCH - OEM HUSQVARNA 583389701,Open Box,$399.99,$399.99,0% off,0 sold,+$51.22 shipping,from United States
Ryobi RYAC700 Cultivator Tiller Part Motor Assembly OEM Part Tested  996906001,Pre-Owned,$39.96,$39.96,0% off,0 sold,+$57.25 shipping,from United States
Troy Bilt Horse Electric Start Decal     ,Open Box,$10.00,$10.00,0% off,0 sold,+$17.85 shipping,from United States
ELECTRIC CLUTCH - OEM HUSQVARNA 532414737,Open Box,$249.99,$249.99,0% off,0 sold,+$47.55 shipping,from United States
Greenworks Electric Cultivator Replacement Motor Housing w/ Screws,Pre-Owned,$34.99,$34.99,0% off,0 sold,+$71.67 shipping,from United States
Troy-Bilt Horse Tiller Neutral Plunger for Safety Interlock System,Pre-Owned,$39.00,$39.00,0% off,0 sold,+$34.39 shipping,from United States
GE ELECTRIC DEEP STEAM CLEANER BACK COVER,Pre-Owned,$24.88,$24.88,0% off,0 sold,+$26.04 shipping,from United States
Ryobi RYAC700 AC Cultivator Tiller OEM Lower Handle 996818001,Pre-Owned,$28.00,$28.00,0% off,0 sold,+$49.68 shipping,from United States
Ryobi RYAC700 AC Cultivator Tiller OEM Lower Handle 996818001,Pre-Owned,$28.00,$28.00,0% off,0 sold,+$49.68 shipping,from United States
Sun Joe Wheel Kit for TJ602E/TJ603E/TJ604E Electric Tillers,Brand New,$6.99,$6.99,0% off,0 sold,+$31.35 shipping,from United States
Earthwise TC70001 Electric Tiller Wheel Assembly WK-TC-SN RTC00043,Pre-Owned,$24.99,$24.99,0% off,0 sold,+$71.42 shipping,from United States
XTREME HD ELECTRIC CLUTCH - x0709,Brand New,$169.99,$169.99,0% off,0 sold,+$265.88 shipping,from United States
"Ryobi RYAC700 Cultivator Tiller Part Handle Knob And Bolt 996815001 , 996814001",Pre-Owned,$19.90,$19.90,0% off,0 sold,+$25.92 shipping,from United States
"Troy-Bilt Horse Tiller Long ""T"" Bar Clamp  1167  GW-1167",Pre-Owned,$35.00,$35.00,0% off,0 sold,+$74.40 shipping,from United States
Earthquake 53630 Tiller Cable Rear Tine 39 in Sheath,Brand New,$29.05,$29.05,0% off,0 sold,+$26.15 shipping,from United States
Genuine Mantis Edger E System 330103 Edger Attachment ,Open Box,$79.97,$79.97,0% off,0 sold,+$95.17 shipping,from United States
Shop on eBay,Brand New,$20.00,$20.00,0% off,0 sold,0,no country
TLEG-01A Mini Tiller Electric Plough Machine Cultivator Scarifier Garden...,Brand New,$540.50,$540.50,0% off,0 sold,Free International Shipping,from China
Electric Tiller 14-Inch and Cultivator garden tools  agriculture  agriculture.,Brand New,$470.50,$470.50,0% off,0 sold,Free International Shipping,from China
Garden Gear Electric Tiller,Pre-Owned,$6.06,$6.06,0% off,0 sold,Shipping not specified,from United Kingdom
"New ListingHyundai 1050W Electric Garden Tiller, Cultivator, Rotovator and Rototiller...",Pre-Owned,$103.17,$103.17,0% off,0 sold,Shipping not specified,from United Kingdom
AAVIX AGT307 320mm Electric Cultivator & Tiller Rotary Hoe Garden Mini Tiller,Pre-Owned,$94.42,$94.42,0% off,0 sold,0,from Australia
Powerbase 1050W 36cm Electric Garden Rotavator Tiller - Current Range - Boxed,Pre-Owned,$72.83,$72.83,0% off,0 sold,0,from United Kingdom
Troy Bilt electric garden tiller /cultivator model TB154E,Pre-Owned,$75.00,$75.00,0% off,0 sold,0,from United States
Gardengear Electric Garden Tiller,Pre-Owned,$24.28,$24.28,0% off,0 sold,0,from United Kingdom
1500W Electric Tiller Garden Soil Cultivator Rotavator with 6 Blades 10m Cable,Pre-Owned,$21.85,$21.85,0% off,0 sold,0,from United Kingdom
Gardengear Mains Electric Garden Tiller,Pre-Owned,$48.55,$48.55,0% off,0 sold,0,from United Kingdom
"Electric Garden Tiller, Cultivator, Rotovator and Rototiller, ",Pre-Owned,$29.13,$29.13,0% off,0 sold,Shipping not specified,from United Kingdom
electric garden tiller,Pre-Owned,$60.69,$60.69,0% off,0 sold,0,from United Kingdom
Handy Electric Scarifier,Pre-Owned,$24.28,$24.28,0% off,0 sold,0,from United Kingdom
"Lawnmaster TE1016M, Corded Electric Garden Tiller, Orange/Black, Garden Tiller",Open Box,$59.99,$59.99,0% off,0 sold,Shipping not specified,from United States
"20V Cordless Tiller Cultivator with 24 Steel Tines,7.8-Inch Wide Battery Powered",Brand New,$263.04 to $323.06,$263.04 to $323.06,0% off,0 sold,+$115.13 shipping,from United States
Handheld Electric Weeder Ripper Micro Tiller Hoe Rotary Tiller Cultivator 20V ,Brand New,$145.99,$145.99,0% off,0 sold,+$113.99 shipping,from China
"Hyundai 1500w Electric Garden Tiller, Cultivator, Rotovator And Rototiller",Pre-Owned,$103.17,$103.17,0% off,0 sold,0,from United Kingdom
230V 1.4 HP ELECTRIC TILLER GARDEN CULTIVATOR 4 BLADES 360MM SCHEPPACH MTE380,Brand New,$293.59,$293.59,0% off,0 sold,Free International Shipping,from Italy
1400W ELECTRIC TILLER CULTIVATOR ROTAVATOR GARDEN LAWN MACHINE 320mm,Brand New,$140.79,$140.79,0% off,0 sold,+$606.90 shipping,from Poland
1400W Tiller Garden Soil Cultivator Rotavator Electric 400rpm - Parkside 🇩🇪 #,Brand New,$246.27,$246.27,0% off,0 sold,+$218.35 shipping,from United Kingdom
TROY BILT press 2 start model (SB1096610),Pre-Owned,$30.00,$30.00,0% off,0 sold,+$100.70 shipping,from United States
230V ELECTRIC TILLER GARDEN CULTIVATOR SCHEPPACH MTE380 + EXTENSION CABLE 20 MT,Brand New,$205.59,$205.59,0% off,0 sold,+$117.00 shipping,from Italy
Earthwise Tillers 100ft Cord 6.5Amp Electric Garden Tiller Cultivator+Cord Lock,Brand New,$142.15,$142.15,0% off,0 sold,+$249.20 shipping,from United States
FPT800 800W Electric Corded Tiller.  Very Good Condition!,Pre-Owned,$60.69,$60.69,0% off,0 sold,0,from United Kingdom
2500W 3IN1 ELECTRIC GARDEN LAWN RAKER/SCARIFIER & AERATOR 320MM WIDTH 35L,Brand New,$287.66,$287.66,0% off,0 sold,+$606.90 shipping,from Poland
BLACK & DECKER MODEL 8300 ELECTRIC CULTIVATOR  not sure if works. untested,Parts Only,$19.99,$19.99,0% off,0 sold,+$902.95 shipping,from United States
AAVIX 32Cm 1250W Electric Cultivator Tiller Rotary Hoe Garden,Brand New,$262.69,$262.69,0% off,0 sold,Shipping not specified,from Australia
"GreenWorks TL08B00 Tiller Original Electric Motor, Globe 8145STA",Pre-Owned,$25.00,$25.00,0% off,0 sold,+$67.68 shipping,from United States
